Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Attainment,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %,DNW Delta
"Congressional District 17 (116th Congress), California",154511.0,780242.0,36.3,66292.0,45294.0,540151.0,307058.0,69714.0,285348.0,39166.0,137772.0,2648.0,06,17,2021,13.725696342711355,22.703853995010714,8.978157652299359
"Congressional District 18 (116th Congress), California",157239.0,744528.0,40.3,84340.0,39270.0,484447.0,301246.0,63000.0,246137.0,35026.0,119423.0,2351.0,06,18,2021,14.230286385224488,20.913140755395922,6.682854370171434
"Congressional District 19 (116th Congress), California",116609.0,754007.0,37.4,48549.0,58652.0,500568.0,298499.0,64022.0,258980.0,43790.0,53925.0,2053.0,06,19,2021,16.90864159394548,21.447978050177724,4.539336456232245
"Congressional District 20 (116th Congress), California",85614.0,744111.0,35.4,37350.0,83731.0,478750.0,289817.0,65329.0,245839.0,47169.0,38279.0,1646.0,06,20,2021,19.186947555107203,22.54146582153566,3.3545182664284567
"Congressional District 21 (116th Congress), California",50309.0,710344.0,30.3,18604.0,150643.0,456687.0,240628.0,83699.0,249390.0,81597.0,7793.0,783.0,06,21,2021,32.718633465656204,34.78356633475738,2.0649328691011775
"Congressional District 22 (116th Congress), California",70290.0,786891.0,32.9,31021.0,118829.0,485205.0,298568.0,78017.0,241923.0,54042.0,29564.0,988.0,06,22,2021,22.33851266725363,26.130395755740736,3.791883088487104
"Congressional District 23 (116th Congress), California",65784.0,771198.0,34.3,29683.0,127028.0,484874.0,288652.0,88321.0,249364.0,68867.0,28675.0,923.0,06,23,2021,27.617057795030558,30.597743996230754,2.9806862012001965
"Congressional District 24 (116th Congress), California",83503.0,739183.0,36.4,41097.0,90634.0,477766.0,300027.0,61123.0,246420.0,46270.0,43018.0,1620.0,06,24,2021,18.77688499310121,20.372499808350582,1.5956148152493732
"Congressional District 25 (116th Congress), California",87671.0,745689.0,36.4,35938.0,88211.0,483278.0,289254.0,83834.0,245346.0,57211.0,34003.0,1601.0,06,25,2021,23.31849714281056,28.982831698092333,5.664334555281773
"Congressional District 26 (116th Congress), California",93176.0,722958.0,38.1,41466.0,63847.0,461106.0,289785.0,65261.0,232096.0,40613.0,41566.0,1811.0,06,26,2021,17.498362746449747,22.520489328295117,5.02212658184537
"Congressional District 27 (116th Congress), California",89708.0,708388.0,41.9,43980.0,70036.0,461244.0,305012.0,63886.0,227923.0,45043.0,62200.0,1662.0,06,27,2021,19.762375890103236,20.945405426671737,1.183029536568501
"Congressional District 28 (116th Congress), California",76855.0,704354.0,40.0,51317.0,88933.0,493139.0,303977.0,57832.0,253061.0,42051.0,58330.0,1632.0,06,28,2021,16.616942160190625,19.025123611325856,2.4081814511352313
"Congressional District 29 (116th Congress), California",64066.0,703638.0,35.4,26603.0,112858.0,482079.0,284695.0,75466.0,243916.0,48434.0,18570.0,1407.0,06,29,2021,19.856835959920627,26.507666098807494,6.650830138886867
"Congressional District 30 (116th Congress), California",91231.0,761222.0,39.7,49086.0,77232.0,512397.0,321021.0,65103.0,255575.0,43508.0,57690.0,1772.0,06,30,2021,17.023574293260296,20.27998168344127,3.256407390180975
"Congressional District 31 (116th Congress), California",73754.0,754741.0,33.6,30079.0,98698.0,498336.0,296753.0,80824.0,248397.0,57299.0,32725.0,1331.0,06,31,2021,23.06750886685427,27.236118927188606,4.168610060334338
"Congressional District 32 (116th Congress), California",79816.0,705766.0,37.8,29319.0,78176.0,470699.0,291872.0,69585.0,236270.0,46949.0,25709.0,1532.0,06,32,2021,19.87091039911965,23.84093027080364,3.970019871683988
"Congressional District 33 (116th Congress), California",122270.0,709488.0,40.8,80875.0,55166.0,467472.0,305358.0,62845.0,227974.0,39018.0,85625.0,2243.0,06,33,2021,17.11510961776343,20.58076094289326,3.46565132512983
"Congressional District 34 (116th Congress), California",54103.0,716495.0,35.4,29846.0,150348.0,507718.0,287678.0,72159.0,270209.0,56992.0,32590.0,1284.0,06,34,2021,21.091821515937664,25.08325280348167,3.991431287544007
"Congressional District 35 (116th Congress), California",73377.0,739237.0,33.1,25261.0,98898.0,495587.0,286662.0,84666.0,250628.0,55567.0,17540.0,1392.0,06,35,2021,22.171106181272645,29.535131967264583,7.364025785991938
