Name,Household Income,Population,Median Age (male),Median age (female),Total Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Degree Obtained,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %
"Congressional District 8 (116th Congress), Pennsylvania",59999,711220,41.7,44.4,43,31592,90650,448150,296363,57406,228403,49927,37647,690,42,8,2021,21.85916998,19.37016429
"Congressional District 9 (116th Congress), Pennsylvania",64948,706475,41.8,44.8,43.3,33042,71674,443474,289905,50824,229132,46200,30599,684,42,9,2021,20.16305012,17.53126024
"Congressional District 10 (116th Congress), Pennsylvania",70886,754965,38.7,41.1,40,37351,74229,478114,311342,49693,239976,39641,46205,859,42,10,2021,16.51873521,15.96090473
"Congressional District 11 (116th Congress), Pennsylvania",74768,744465,38.8,40.8,39.7,35865,58374,456887,302239,50331,227986,25904,39920,912,42,11,2021,11.36210118,16.65271524
"Congressional District 12 (116th Congress), Pennsylvania",58714,688872,39.7,42.4,41.1,30454,85164,435985,283791,56951,223843,43368,31327,648,42,12,2021,19.37429359,20.06793732
"Congressional District 13 (116th Congress), Pennsylvania",60107,696156,42.6,45.5,44,31465,73949,426915,286490,51065,219448,42079,29709,634,42,13,2021,19.17492982,17.82435687
"Congressional District 14 (116th Congress), Pennsylvania",63950,690770,43.9,47,45.5,35752,72702,426694,291959,53437,216307,41117,39131,595,42,14,2021,19.00863125,18.3029124
"Congressional District 15 (116th Congress), Pennsylvania",55835,677635,43.2,46.2,44.6,29520,78732,424458,276696,51442,224063,52509,28380,565,42,15,2021,23.43492678,18.59152283
"Congressional District 16 (116th Congress), Pennsylvania",58317,688843,41.1,43.6,42.3,32383,86716,430504,286956,53745,217111,43257,36157,608,42,16,2021,19.92390989,18.72935224
"Congressional District 17 (116th Congress), Pennsylvania",75169,733477,41.4,45,43.1,44531,54271,455773,309209,48507,228833,32253,65903,758,42,17,2021,14.09455804,15.68744765
"Congressional District 18 (116th Congress), Pennsylvania",58735,701546,37.4,40.6,38.9,37954,99052,463446,309320,49473,228477,40941,58673,798,42,18,2021,17.91909032,15.99411613
"Congressional District 1 (116th Congress), Rhode Island",68969,551867,37.7,40.3,38.9,39041,68537,362300,235717,40767,178992,32758,38732,896,44,1,2021,18.3013766,17.29489176
