NAME,B19013_001E,B01003_001E,B01002_001E,B19301_001E,B17001_002E,B23022_001E,B23001_088E,B23022_049E,B23022_002E,B23022_025E,B15003_023E,B25058_001E,state,congressional district,Year
"Congressional District 52 (116th Congress), California",108946.0,757448.0,37.0,57302.0,59693.0,514359.0,304911.0,58673.0,269923.0,40319.0,92300.0,2045.0,06,52,2021
"Congressional District 53 (116th Congress), California",86816.0,770304.0,35.9,41232.0,80718.0,532682.0,318384.0,66457.0,269777.0,48321.0,55209.0,1695.0,06,53,2021
"Congressional District 1 (116th Congress), Colorado",80246.0,831812.0,35.3,51043.0,88394.0,584644.0,341386.0,53300.0,299299.0,35911.0,82992.0,1411.0,08,01,2021
"Congressional District 2 (116th Congress), Colorado",91259.0,822288.0,38.2,50599.0,78148.0,558423.0,338131.0,53382.0,286855.0,35177.0,94189.0,1479.0,08,02,2021
"Congressional District 3 (116th Congress), Colorado",62171.0,755131.0,40.7,34701.0,92988.0,470058.0,304704.0,60739.0,239278.0,43006.0,42411.0,837.0,08,03,2021
"Congressional District 4 (116th Congress), Colorado",85817.0,858938.0,37.5,41117.0,71013.0,553540.0,330881.0,63571.0,286023.0,41016.0,57784.0,1208.0,08,04,2021
"Congressional District 5 (116th Congress), Colorado",73982.0,824439.0,35.9,36843.0,77181.0,539874.0,319468.0,66194.0,282678.0,50713.0,63040.0,1180.0,08,05,2021
"Congressional District 6 (116th Congress), Colorado",91753.0,827989.0,37.0,44443.0,59290.0,544409.0,325977.0,56180.0,275502.0,33085.0,69160.0,1449.0,08,06,2021
"Congressional District 7 (116th Congress), Colorado",80980.0,802579.0,36.5,40164.0,68962.0,536197.0,322732.0,54220.0,274221.0,35616.0,55495.0,1395.0,08,07,2021
"Congressional District 1 (116th Congress), Connecticut",80168.0,715324.0,40.6,42924.0,74564.0,462063.0,303964.0,52301.0,228943.0,42203.0,64908.0,1005.0,09,01,2021
"Congressional District 2 (116th Congress), Connecticut",84124.0,702074.0,42.0,43498.0,56769.0,459741.0,293427.0,47958.0,235226.0,38660.0,60248.0,985.0,09,02,2021
"Congressional District 3 (116th Congress), Connecticut",76949.0,716576.0,39.9,41257.0,73667.0,472213.0,311138.0,51678.0,230344.0,43300.0,61767.0,1097.0,09,03,2021
"Congressional District 4 (116th Congress), Connecticut",104774.0,745946.0,40.4,65964.0,70783.0,478731.0,307529.0,61607.0,236057.0,35381.0,87568.0,1400.0,09,04,2021
"Congressional District 5 (116th Congress), Connecticut",78198.0,725410.0,42.1,44898.0,75693.0,461734.0,302001.0,54152.0,232129.0,42363.0,59728.0,962.0,09,05,2021
"Congressional Districts not defined (116th Congress), Connecticut",-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,09,ZZ,2021
"Congressional District (at Large) (116th Congress), Delaware",72724.0,981892.0,41.1,38917.0,109274.0,612423.0,414664.0,75737.0,300128.0,57780.0,71962.0,1020.0,10,00,2021
"Delegate District (at Large) (116th Congress), District of Columbia",93547.0,683154.0,34.3,63793.0,100618.0,485206.0,301403.0,48860.0,232484.0,41004.0,106838.0,1595.0,11,98,2021
"Congressional District 1 (116th Congress), Florida",64607.0,797259.0,38.8,34142.0,92833.0,511411.0,319973.0,70323.0,263411.0,51438.0,44605.0,922.0,12,01,2021
"Congressional District 2 (116th Congress), Florida",55405.0,729598.0,42.6,30076.0,95495.0,452598.0,294621.0,65089.0,238171.0,75409.0,34355.0,812.0,12,02,2021
"Congressional District 3 (116th Congress), Florida",56028.0,761626.0,37.7,30518.0,121968.0,494414.0,317415.0,78274.0,246275.0,64935.0,39902.0,858.0,12,03,2021
"Congressional District 4 (116th Congress), Florida",79631.0,851023.0,39.9,43580.0,71323.0,544887.0,350978.0,70854.0,272384.0,40476.0,66821.0,1191.0,12,04,2021
"Congressional District 5 (116th Congress), Florida",45619.0,748057.0,34.6,24254.0,158393.0,498181.0,310412.0,73172.0,243976.0,67654.0,26174.0,827.0,12,05,2021
"Congressional District 6 (116th Congress), Florida",58634.0,789744.0,47.5,33121.0,95644.0,466528.0,343145.0,73147.0,230088.0,54195.0,37256.0,992.0,12,06,2021
"Congressional District 7 (116th Congress), Florida",70822.0,781734.0,37.0,38164.0,86213.0,535155.0,333436.0,72407.0,265464.0,49318.0,59222.0,1237.0,12,07,2021
"Congressional District 8 (116th Congress), Florida",63387.0,775458.0,48.3,37018.0,82097.0,457377.0,335785.0,69396.0,226967.0,49550.0,55192.0,1000.0,12,08,2021
"Congressional District 9 (116th Congress), Florida",58995.0,930697.0,38.1,27676.0,123453.0,595964.0,380540.0,92985.0,295599.0,64333.0,41758.0,1146.0,12,09,2021
"Congressional District 10 (116th Congress), Florida",63355.0,867042.0,36.1,32096.0,124237.0,579753.0,351115.0,76677.0,285266.0,53358.0,46043.0,1180.0,12,10,2021
"Congressional District 11 (116th Congress), Florida",54163.0,805200.0,55.1,31066.0,97655.0,406107.0,358953.0,73215.0,199040.0,59822.0,40258.0,838.0,12,11,2021
"Congressional District 12 (116th Congress), Florida",60121.0,798316.0,46.4,35249.0,88238.0,472541.0,346918.0,72382.0,230518.0,49595.0,46371.0,1015.0,12,12,2021
"Congressional District 13 (116th Congress), Florida",59761.0,725783.0,47.3,38833.0,87420.0,450582.0,320550.0,54400.0,222863.0,45270.0,45025.0,1063.0,12,13,2021
"Congressional District 14 (116th Congress), Florida",61291.0,788149.0,36.9,38296.0,119527.0,534354.0,326771.0,68003.0,265649.0,49134.0,53892.0,1096.0,12,14,2021
"Congressional District 15 (116th Congress), Florida",61727.0,812631.0,39.0,30776.0,104375.0,519352.0,336258.0,76705.0,256683.0,54447.0,38289.0,1086.0,12,15,2021
"Congressional District 16 (116th Congress), Florida",69485.0,861259.0,47.3,40486.0,86910.0,485856.0,370789.0,68675.0,238307.0,46296.0,63191.0,1238.0,12,16,2021
"Congressional District 17 (116th Congress), Florida",56938.0,773890.0,52.3,33650.0,97975.0,410762.0,333462.0,65798.0,207876.0,57394.0,38944.0,862.0,12,17,2021
"Congressional District 18 (116th Congress), Florida",69054.0,783441.0,48.0,43139.0,76820.0,454354.0,337890.0,61626.0,224731.0,45004.0,50215.0,1298.0,12,18,2021
"Congressional District 19 (116th Congress), Florida",66647.0,826628.0,51.6,45210.0,89138.0,446381.0,364379.0,66743.0,218097.0,43453.0,56877.0,1215.0,12,19,2021
"Congressional District 20 (116th Congress), Florida",52991.0,787098.0,37.3,25855.0,133826.0,510310.0,323344.0,65775.0,251095.0,56124.0,31457.0,1218.0,12,20,2021
"Congressional District 21 (116th Congress), Florida",67178.0,784165.0,46.2,42583.0,87477.0,455141.0,337951.0,59355.0,228491.0,38707.0,56819.0,1391.0,12,21,2021
"Congressional District 22 (116th Congress), Florida",71291.0,767612.0,44.5,46999.0,77339.0,477636.0,323999.0,57273.0,240391.0,38922.0,61404.0,1459.0,12,22,2021
"Congressional District 23 (116th Congress), Florida",72175.0,762612.0,41.9,40788.0,81936.0,487616.0,325517.0,64949.0,237050.0,39639.0,60266.0,1528.0,12,23,2021
"Congressional District 24 (116th Congress), Florida",47027.0,748479.0,37.8,24488.0,144991.0,492467.0,308148.0,74358.0,245161.0,58842.0,28768.0,1163.0,12,24,2021
"Congressional District 25 (116th Congress), Florida",58973.0,769234.0,42.5,28313.0,111563.0,496017.0,321575.0,68465.0,253360.0,45519.0,37286.0,1339.0,12,25,2021
"Congressional District 26 (116th Congress), Florida",65877.0,785278.0,39.7,28573.0,111416.0,512669.0,324738.0,75564.0,257623.0,53498.0,34179.0,1393.0,12,26,2021
"Congressional District 27 (116th Congress), Florida",65458.0,727749.0,41.9,46018.0,96350.0,481646.0,313137.0,62521.0,243787.0,39883.0,58702.0,1407.0,12,27,2021
"Congressional District 1 (116th Congress), Georgia",57940.0,752393.0,36.3,31053.0,113909.0,480991.0,303763.0,70166.0,240112.0,53303.0,36601.0,857.0,13,01,2021
"Congressional District 2 (116th Congress), Georgia",43151.0,671948.0,36.7,24339.0,151002.0,424192.0,271960.0,71725.0,212165.0,67439.0,24538.0,586.0,13,02,2021
"Congressional District 3 (116th Congress), Georgia",68315.0,756277.0,38.5,33898.0,94607.0,483364.0,311654.0,73927.0,236270.0,47614.0,37348.0,815.0,13,03,2021
"Congressional District 4 (116th Congress), Georgia",63415.0,768431.0,36.8,30218.0,101575.0,506535.0,320152.0,67183.0,241019.0,51325.0,47502.0,997.0,13,04,2021
"Congressional District 5 (116th Congress), Georgia",61917.0,778225.0,33.7,43003.0,134522.0,543918.0,329214.0,65326.0,266963.0,57165.0,70220.0,1028.0,13,05,2021
"Congressional District 6 (116th Congress), Georgia",104703.0,757644.0,38.8,57536.0,50424.0,498553.0,305673.0,61237.0,247573.0,29089.0,100739.0,1356.0,13,06,2021
"Congressional District 7 (116th Congress), Georgia",83800.0,854516.0,36.2,37948.0,81273.0,560567.0,335382.0,75362.0,275830.0,41936.0,65464.0,1248.0,13,07,2021
"Congressional District 8 (116th Congress), Georgia",53827.0,715067.0,37.4,27801.0,125685.0,453496.0,291862.0,72727.0,224130.0,59845.0,32227.0,634.0,13,08,2021
"Congressional District 9 (116th Congress), Georgia",64024.0,770045.0,41.1,31900.0,100508.0,476178.0,315125.0,72210.0,237691.0,43802.0,33969.0,702.0,13,09,2021
"Congressional District 10 (116th Congress), Georgia",64359.0,765152.0,37.4,31966.0,104527.0,494436.0,311361.0,71367.0,245248.0,56615.0,39298.0,743.0,13,10,2021
